CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type
"96","Brunei Darussalam","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","6421.0","","G","5816.0","","G","5809.0","","G","5589.0","","G","5409.0","","G","5515.0","","G","5596.0","","G","5812.0","","G","5985.0","","G","4598.0","","G","6527.0","","G","6197.0","","G","5321.0","","G","5357.0","","G","5361.0","","G","5126.0","","G","4822.0","","G","9560.0","","G","10620.0","","G","9281.0","","G"," "," "," "," "," "," "," "," "," "
"100","Bulgaria","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","75764.0","","G","58177.0","","G","54459.0","","G","68078.0","","G","54345.0","","G","58005.0","","G","56560.0","","G","51617.0","","G","48998.0","","G","43982.0","","G","43531.0","","G","46454.0","","G","44635.0","","G","47308.0","","G","46787.0","","G","47909.0","","G","48943.0","","G","52812.0","","G","50792.0","","G","42805.0","","G"," "," "," "," "," "," "," "," "," "
"854","Burkina Faso","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","587.0","","G","627.0","","G","631.0","","G","627.0","","G","645.0","","G","627.0","","G","708.0","","G","807.0","","G","862.0","","G","931.0","","G","1041.0","","G","997.0","","G","1005.0","","G","1078.0","","G","1104.0","","G","1126.0","","G","1360.0","","G","1646.0","","G","1701.0","","G","1668.0","","G"," "," "," "," "," "," "," "," "," "
"108","Burundi","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","304.0","","G","345.0","","G","319.0","","G","337.0","","G","341.0","","G","334.0","","G","330.0","","G","315.0","","G","301.0","","G","293.0","","G","301.0","","G","216.0","","G","220.0","","G","165.0","","G","198.0","","G","154.0","","G","187.0","","G","176.0","","G","194.0","","G","191.0","","G"," "," "," "," "," "," "," "," "," "
"116","Cambodia","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","451.0","","G","462.0","","G","477.0","","G","477.0","","G","539.0","","G","1437.0","","G","1628.0","","G","1907.0","","G","2233.0","","G","2197.0","","G","2255.0","","G","2644.0","","G","2860.0","","G","3128.0","","G","3498.0","","G","3722.0","","G","4074.0","","G","4437.0","","G","4954.0","","G","4613.0","","G"," "," "," "," "," "," "," "," "," "
"120","Cameroon","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","1738.0","","G","1111.0","","G","3795.0","","G","3898.0","","G","3817.0","","G","4364.0","","G","4602.0","","G","3216.0","","G","3209.0","","G","3080.0","","G","3432.0","","G","3421.0","","G","3418.0","","G","3795.0","","G","3957.0","","G","3696.0","","G","3828.0","","G","5761.0","","G","5545.0","","G","6674.0","","G"," "," "," "," "," "," "," "," "," "
"124","Canada","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","450077.0","","G","449053.0","","G","467649.0","","G","477920.0","","G","454492.0","","G","459790.0","","G","467884.0","","G","483234.0","","G","517219.0","","G","515415.0","","G","534484.0","","G","525690.0","","G","519163.0","","G","553185.0","","G","552349.0","","G","563072.0","","G","550233.0","","G","560802.0","","G","544975.0","","G","513937.0","","G"," "," "," "," "," "," "," "," "," "
"132","Cape Verde","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","88.0","","G","92.0","","G","103.0","","G","103.0","","G","110.0","","G","114.0","","G","139.0","","G","143.0","","G","154.0","","G","172.0","","G","187.0","","G","209.0","","G","246.0","","G","253.0","","G","264.0","","G","293.0","","G","308.0","","G","312.0","","G","308.0","","G","315.0","","G"," "," "," "," "," "," "," "," "," "
"136","Cayman Islands","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","253.0","","G","275.0","","G","312.0","","G","334.0","","G","367.0","","G","367.0","","G","389.0","","G","407.0","","G","425.0","","G","422.0","","G","455.0","","G","455.0","","G","469.0","","G","480.0","","G","488.0","","G","510.0","","G","528.0","","G","535.0","","G","543.0","","G","513.0","","G"," "," "," "," "," "," "," "," "," "
"140","Central African Republic","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","198.0","","G","205.0","","G","216.0","","G","224.0","","G","235.0","","G","235.0","","G","235.0","","G","246.0","","G","249.0","","G","264.0","","G","268.0","","G","246.0","","G","246.0","","G","235.0","","G","213.0","","G","213.0","","G","227.0","","G","235.0","","G","235.0","","G","235.0","","G"," "," "," "," "," "," "," "," "," "
"148","Chad","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","147.0","","G","70.0","","G","88.0","","G","99.0","","G","103.0","","G","103.0","","G","106.0","","G","114.0","","G","114.0","","G","121.0","","G","176.0","","G","172.0","","G","169.0","","G","381.0","","G","378.0","","G","400.0","","G","407.0","","G","462.0","","G","495.0","","G","414.0","","G"," "," "," "," "," "," "," "," "," "
"152","Chile","749","Y","Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)","34143.0","","G","32182.0","","G","33315.0","","G","35475.0","","G","38889.0","","G","42457.0","","G","48518.0","","G","56171.0","","G","57715.0","","G","60883.0","","G","58694.0","","G","52757.0","","G","55361.0","","G","55078.0","","G","60047.0","","G","61301.0","","G","62724.0","","G","67344.0","","G","70681.0","","G","66732.0","","G"," "," "," "," "," "," "," "," "," "
